tier,concept,repo_path_or_url,title,date,words,proposed_page,publishability,why_it_matters
0,W6b W16 W20 4 maps,team/humans/dinis_cruz/briefs/06/19/strategy-phase-and-shipping/v0.33.28__strategy-brief__sg-send-wardley-maps-productizing-commoditizing-permissions-explorer-phase.md,"Wardley Maps: Productising And Commoditising Permissions, And Why We Are In Explorer",2026-06-19,2236,/method/custom-axes/,clean,4 wardley-beta maps (fenced ```wardley-beta - also broken; one note line missing quotes). Alternate axes; PST applied to the COMPANY; and the only outright statement of the rename.
0,W23 the site identified,team/humans/dinis_cruz/briefs/08/14/sgit-site-and-hub/v0.33.58__strategy-brief__sgit-topic-sections-catalogue-read-keys-yes-write-keys-never-frozen-vaults.md,"Topic Sections As The Index For Vault Sprawl: Publish Read Keys, Never Write Keys, And A Vault Whose Write Key Is Lost Is Frozen Rather Than Broken",2026-08-14,3338,/,clean,"LATEST WARDLEY MATERIAL. 'A Wardley map is a claim, not a picture'. Mermaid version facts re-verified. Identifies the need this site fills."
0,W18 vibe-coding PST,team/humans/dinis_cruz/briefs/05/11/v0.27.32__article__explorer-villager-town-planner-vibe-coding-workflow.md,"How Vibe Coded Apps Actually Ship to Production: The Explorer, Villager, Town Planner Workflow",2026-05-12,2413,/patterns/pst/,clean,"PST GOES PUBLIC-FACING - the first material written for an outside audience. 'the vibe coded MVP IS the specification.' Note the seniority inversion: Villager work to juniors, Town Planner work to the most experienced."
0,the operative table,.claude/CLAUDE.md,SGraph Send — Agent Guidance,2026-02,2408,/patterns/pst/,clean,"THE MOST AUTHORITATIVE STATEMENT of the three-team/three-stage mapping. Also annotates team/roles/ as the Explorer team, which is how we know there is no team/explorer/ directory."
0,Explorer contract,.claude/explorer/CLAUDE.md,SGraph Send — Explorer Team Session,2026-02,838,/patterns/pst/,clean,'You operate at the Genesis -> Custom-Built stages'. The mechanism that makes PST more than a diagram: the agent is told its stage before it acts. Names a handovers/ path that does not exist.
0,Villager contract,.claude/villager/CLAUDE.md,SGraph Send — Villager Team Session,2026-02,1876,/patterns/pst/,clean,"Custom-Built -> Product. Introduces `translator` as 'the first role that exists ONLY in the Villager team' - Wardley-consistent, since translation is a productisation activity."
0,Town Planner contract,.claude/town-planner/CLAUDE.md,SGraph Send — Town Planner Team Session,2026-02,988,/patterns/pst/,clean,"'Product -> Commodity stages... but with a twist' - the twist being that its output is investor material, not software. A genuine deviation from Wardley's model."
0,the only operationalised role,team/villager/roles/cartographer/ROLE.md,Role: Villager Cartographer,2026-02-15,699,/patterns/pst/,clean,1 OF ONLY 2 ROLE.md FILES (of 33) THAT MENTION WARDLEY. Carries a real quality gate: 'Every component has a Wardley evolution stage label'.
0,the negative finding,team/roles/cartographer/ROLE.md,Role: Cartographer,2026-02-11,2064,/patterns/pst/,clean,"THE NEGATIVE FINDING. 2,057 words, the longest cartographer document, Wardley mentions: ZERO. The role the founding brief called 'central to this entire structure'."
0,the last living map,team/roles/cartographer/reviews/02/26/v0.6.32__evolution-map__mcp-pipeline-ai-sender.md,v0.6.32 -- Evolution Map: MCP Pipeline & AI-as-Sender Milestone,2026-02-26,4161,/maps/history/,clean,"One of only three living evolution maps ever produced. ASCII, visibility x evolution, with a movement legend. Nothing after 26 Feb 2026."
1,W24 villagers as market,team/humans/dinis_cruz/briefs/07/31/markets-and-field-demo/v0.33.54__strategy-brief__sg-send-somebody-has-to-be-the-villagers-maintaining-non-functional-requirements-scarce-asset.md,"Somebody Has To Be The Villagers: Maintaining What The Explorers Built, And Why The Displaced Firms Hold The Scarce Asset",2026-07-31,3059,/patterns/pst/,CARE,"The Wardley/NFR argument is strong and publishable. But re-source or soften the M&A figure and the seven market statistics - loosely attributed, and the brief itself flags the problem."
1,W25 W25b skills by character,team/humans/dinis_cruz/briefs/06/04/v0.32.3__strategy-brief__sg-send-skills-as-graph-capturing-how-business-works.md,"Skills As A Graph: Capturing How A Business Works, With Built-In Error Correction",2026-06-04,3244,/patterns/skill-lifecycle/,clean,"'a skill, the same skill for a town planner, is very different for an explorer, for a villager.'"
1,W19 tool replacement,team/humans/dinis_cruz/briefs/06/07/v0.32.7__strategy-brief__sg-send-tool-replacement-strategy-compatible-commoditize-de-risk.md,"Tool Replacement Strategy: Be Compatible, Commoditize The Next Level, And De-Risk The Switch",2026-06-07,2535,/method/reading-maps/,clean,"'once a tool works, it has become a commodity for its user, and asking them to switch asks them back to Genesis, which is why change is so hard.'"
1,W30 commoditise the experience,team/humans/dinis_cruz/briefs/06/03/v0.31.12__strategy-brief__sg-send-vault-as-platform-of-primitives.md,SG/Vault As A Platform Of Primitives: Commoditising The Experience So Anything Can Run Underneath,2026-06-03,2343,/method/,clean,'Commoditising The Experience (The Wardley Move)' - push the value chain down so only the top line stays custom.
1,W20 vaults embody the flow,team/humans/dinis_cruz/briefs/06/19/strategy-phase-and-shipping/v0.33.28__strategy-brief__sg-send-need-to-ship-iterate-learn-ci-pipeline-wardley-flow-cost-constraint.md,"The Need To Ship: Iterate, Learn, And Solve The Hundred Invisible Problems",2026-06-19,1557,/patterns/pst/,clean,"'the vaults are so powerful because they let us experiment wildly in a very controlled way, then bring them into the main codebase as the villagers take over.'"
1,W27 divisions and maturities,team/humans/dinis_cruz/briefs/06/18/agentic-permissions/v0.33.40__strategy-brief__graphs-of-graphs-ontology-of-ontologies-permissions-mapping-reality-not-complexity.md,"Graphs Of Graphs: Mapping Reality, Not Complexity",2026-06-18,1568,/method/,clean,"'companies are made of multiple companies... different evolutionary scales, different Wardley maps, different maturities.'"
1,W26 cost and control flows,team/humans/dinis_cruz/briefs/05/24/sg-sentinel-batch2/v0.27.60__arch-brief__sg-sentinel-cost-attribution-accountant-agent.md,SG/Sentinel Cost Attribution: The Accountant Agent And Wardley-Mapping Control And Cost Flows,2026-05-24,2641,/method/,clean,"Map the control flows and the cost flows together. Sketch-level, but it is the seed of a genuinely novel map type."
1,the earliest material,library/guides/agentic-setup/v0.1.0__role-architecture-framework.md,Issues-FS Role Architecture: Framework Analysis & Recommendations,2026-02-05,3831,/patterns/pst/,clean,EARLIEST WARDLEY MATERIAL IN THE CORPUS. Wardley as one of five frameworks stress-testing an agent role architecture. Contains an ASCII map of the role ecosystem.
1,the Historian complement,team/roles/historian/REFERENCE__from-issues-fs.md,The Historian Role: Understanding Through Narrative,2026-02-09,5528,/method/maps-are-graphs/,clean,'Wardley Maps are snapshots. The Historian provides the film.' The best one-line statement of what maps do not do.
1,role ecosystem,library/guides/agentic-setup/v0_4_0__role-ecosystem-guide.md,Issues-FS Role Ecosystem: A Complete Guide,2026-02-09,4827,/patterns/pst/,clean,"Places the Cartographer's internal discipline as Wardley Mapping. Note: this guide, like all five in agentic-setup/, never mentions Explorer/Villager/Town Planner."
1,Explorer role definition,team/humans/dinis_cruz/briefs/02/14/v0.3.2__role-definition__explorer.md,Role Definition: Explorer,2026-02-14,1177,/patterns/pst/,clean,Issued the same day as the founding brief.
1,Villager role definition,team/humans/dinis_cruz/briefs/02/14/v0.3.2__role-definition__villager.md,Role Definition: Villager,2026-02-14,1696,/patterns/pst/,clean,Issued the same day as the founding brief.
1,the architect response,team/roles/architect/reviews/02/14/v0.3.0__review__next-steps-from-wardley-briefs.md,Architect Review: Next Steps from Wardley Maps Briefs,2026-02-14,1281,/patterns/pst/,clean,"E1-E10 / V1-V10 action plans produced the same day. Records AD-1, the still-open environment-separation decision behind one of the seven separation rules."
1,Town Planner founding,team/humans/dinis_cruz/briefs/02/21/part-1/v0.5.8__role-definition__alchemist.md,Role Definition: Alchemist,2026-02-21,3574,/patterns/pst/,clean,"The Town Planner team created ~1 week after being explicitly deferred, with the Alchemist as founding role - a documentable deviation from the plan."
1,the second living map,team/roles/cartographer/reviews/02/26/v0.6.36__evolution-map__v0-6-30-brief-batch-capabilities--revised.md,v0.6.36 -- Evolution Map: v0.6.30 Brief Batch Capabilities (Reality-Verified Revision),2026-02-26,4435,/maps/history/,clean,The revised half of the corpus's only dated map pair - the one and only map diff that exists.
1,proposed maps,team/roles/librarian/reality/ai-agents/proposed/risk-mandate.md,"AI Agents — Proposed: Risk Mandate, Agent Authorization, and Assessment",2026-07-28,7010,/shipped/,clean,"Records the three maps commissioned 28 July as PROPOSED: 'all three need to be built, rendered, and published'. The evidence for the shipped/designed split."
1,cartographer release notes,library/sgraph-send/releases/v0.3.5/v0.3.5__cartographer.md,SGraph Send v0.3.5 — Cartographer,2026-02,1258,/patterns/pst/,clean,Release-note view of the cartographer role at the moment of the team split.
2,handover as offer (EXTRACT ONLY),team/humans/dinis_cruz/briefs/07/17/commercial-model/v0.33.49__strategy-brief__sg-send-gen-ai-consulting-model-on-demand-hours-response-time-pricing-zero-based-ceiling-git-native-empowering-the-client.md,"The Gen AI Consulting Model: On-Demand Hours, Priced By Speed, Billed From Zero, Empowering The Client",2026-07-17,3028,/patterns/pst/,EXTRACT ONLY,"THE ONLY FILE THAT CITES SIMON WARDLEY WITH A URL. Extract the explorer->villager handover section (~2 paragraphs) and the citation. The commercial model, rates and delivery location must NOT be published."
2,vendor evolution view (IDEA ONLY),team/humans/dinis_cruz/briefs/06/10/integration-landscape/v0.33.16__strategy-brief__sg-send-integration-landscape-mappings-implementation-cost-criteria.md,Mapping The SG/Vault Integration Landscape: Implementation And Costing Criteria,2026-06-10,1799,/method/,IDEA ONLY,'Mapping 5: The Wardley Evolution View' as a vendor-selection criterion is a good idea and publishable. The scored vendor table it sits in is not.
2,startup evaluation lens,team/humans/dinis_cruz/briefs/03/02/v0.10.14__framework__genai-cybersecurity-startup-evaluation.md,Evaluating GenAI Startups in Cybersecurity: An Analysis Framework,2026-03-02,3014,/method/,CARE,Wardley as an evaluation lens: attrition in your competition means 'you are in a structurally weak position'. Check for named companies before publishing.
3,investor one-pager,library/alchemist/materials/v0.13.12__investor-one-pager__sg-send.md,SGraph Send — Investor One-Pager,2026-03,1196,DO-NOT-PUBLISH,INTERNAL ONLY,"Pricing, customer count, burn, TAM, a named-competitor price table, founder CV. Also the source of the WRONG team counts (15/16/3) - use the filesystem instead."
3,business plan,library/alchemist/materials/v0.5.8__business-plan__sg-send.md,SGraph Send — Business Plan,2026-02,3316,DO-NOT-PUBLISH,INTERNAL ONLY,"Representative of the whole library/alchemist/materials/ tree: revenue models, investor categories, competitive positioning. None of it is needed here."
3,third-party investment repo,team/town-planner/roles/librarian/reviews/02/21/v0.5.8__review__cbr-investment-catalogue.md,Librarian Review: CBR Investment Repository Catalogue,2026-02-21,1274,DO-NOT-PUBLISH,INTERNAL ONLY,Catalogues a SEPARATE COMPANY's private investment repository. Third-party commercial detail.
3,investor strategy,team/town-planner/roles/alchemist/reviews/03/10/v0.13.12__alchemist__updated-investor-strategy.md,v0.13.12 -- Alchemist: Updated Investor Strategy,2026-03-10,2641,DO-NOT-PUBLISH,INTERNAL ONLY,Investor strategy and internal velocity metrics.
3,names a private individual,team/humans/dinis_cruz/briefs/06/08/v0.33.2__research-brief__sg-send-tls-ssl-cybersecurity-skills-landscape.md,Research Brief: The TLS And SSL Cybersecurity Skills Landscape,2026-06-08,2282,DO-NOT-PUBLISH,INTERNAL ONLY,"Names a private individual as a commercial target. The Wardley task inside (Research Task 9, a skills-landscape map that was never produced) is safe in isolation."
3,pentest demo,team/humans/dinis_cruz/briefs/05/26/v0.27.64__strategy-brief__sg-send-security-report-vault-demo-pentest.md,The Security Report Vault: A Demo That Replaces The PDF,2026-05-26,3496,DO-NOT-PUBLISH,INTERNAL ONLY,Pentest/security-report demo material. Only 4 Wardley mentions; not worth the risk.
0,THE DOCTRINE ASSESSMENT,https://pki.sgit.ai/packs/registry-mvp/doctrine.html,Doctrine - Wardley's forty doctrines applied to the registry MVP,2026,0,/doctrine/,MOVE,"41 records: 15 strong, 11 partial, 6 weak, 9 no-basis. Every rating names the artefact it rests on. THE SITE'S ANCHOR ASSET, currently buried at appendix depth inside a PKI pack. CC BY 4.0."
0,doctrine raw data,https://pki.sgit.ai/packs/registry-mvp/doctrine/doctrine.json,doctrine.json,2026,0,/doctrine/doctrine.json,MOVE,"Fields: id, cat, phase, name, what, status, us, evidence. Serve as a stable endpoint - there is no working doctrine assessment tool anywhere in the ecosystem right now."
0,6 published Mermaid maps,https://pki.sgit.ai/packs/registry-mvp/wardley-maps.html,Wardley maps - where the novelty actually sits,2026,0,/maps/,MOVE,The estate's first use of Mermaid wardley-beta in published HTML: 'the maps live in the source and are reviewable in a diff'. CC BY 4.0.
1,4 published Mermaid maps,https://pki.sgit.ai/packs/map-your-case/wardley-maps.html,Wardley maps M1-M4 - map your case,2026,0,/maps/,MOVE,"Concludes 'the genesis components are written, not programmed' - an argument for documentation over code. CC BY 4.0."
1,8 vault-served PNGs,https://sgit.ai/demos/strategy-maps.html,Strategy Maps (vault-served),2026-05,0,/maps/,REFERENCE,"Live demo of client-side vault decryption - a MutationObserver rewrites vault-path image refs to blob URLs. Moving it would break the demo. Vault ookq4mn4, 33 files, 830 KB, read key published."
1,6 client-side SVG maps,https://sgit.ai/demos/sgit-maps.html,sgit competitive positioning maps,2026,0,/maps/,REFERENCE,Inline SVG generated from client-side-decrypted data.
1,maps-as-graphs methodology,https://graphs.sgit.ai/v1/maps/index.html,Wardley maps as graphs,2026,0,/network/,REFERENCE BOTH WAYS,"Carries the estate's sharpest technical warning on [visibility, evolution] vs [x, y], and an inventory of unrendered maps that is ready-made launch content."
1,the solo talk,https://open-security-summit.org/sessions/2022/mini-summits/jul/wardley-maps/why-wardley-maps-changed-how-i-think/,Why Wardley Maps changed how I think,2022-07,0,/dinis/,LINK ONLY,"The single most Dinis-authored Wardley artefact that survives. Solo. Video 6gpgnYo6M14. OSS pages state no licence - link, do not mirror."
1,the PST ancestor,https://www.youtube.com/watch?v=YKHPUZJMkUs,Team Topologies & PST & Squads & Tribes,2020-06-16,0,/dinis/,EMBED ONLY,"THE DOCUMENTED 2020 ANCESTOR of the 2026 agent teams, with Simon Wardley in the room. Embed via the YouTube player; ARR."
1,the threat-modelling claim,https://open-security-summit.org/sessions/2022/mini-summits/mar/threat-modeling/threat-models-and-wardley-maps/,Threat Models and Wardley Maps,2022-03,0,/dinis/,LINK ONLY,'Wardley Maps could be the missing piece of the puzzle when doing Threat Models' - the most explicit statement of his security position.
1,the intellectual seed,https://medium.com/@dinis.cruz/dot-language-graph-based-diagrams-c3baf4c0decc,Dot Language (graph based diagrams),2018-10-07,0,/dinis/,LINK + QUOTE,"The 2018 origin: 'the answer is Maps, which are diagrams with... an anchor, a position relative to anchor, and a consistency of movement'. Medium default ARR - quote briefly."
2,"maps as code, 2018",https://diniscruz.blogspot.com/2018/12/creating-wardley-maps-using-lambda.html,Creating Wardley Maps using Lambda Functions,2018-12-12,0,/dinis/,MIRROR,The 2018 ancestor of the 2026 Mermaid pipeline. THE CODE REPO IS ALREADY 404 - only the prose survives. Mirror in full.
2,the unread thesis,https://www.slideshare.net/DinisCruz/map-camp-why-context-is-your-crown-jewels-wardley-maps-and-threat-modeling,Map camp - Why context is your crown jewels,2020,0,/dinis/,ARCHIVE FIRST,HIGHEST-PRIORITY ARCHIVE TARGET. The only artefact of the Map Camp talk; contents unread behind a Cloudflare wall. Export to PDF from a real browser.
1,the primary source,https://medium.com/wardleymaps/on-being-lost-2ef5f05eb1ec,"Wardley Maps, Ch.1 - On Being Lost",2016,0,/resources/wardley-maps-book/,CC BY-SA 4.0,"The canonical text. QUOTE AND LINK, DO NOT ADAPT - ShareAlike would infect the page. Attribution: 'Wardley Mapping is provided courtesy of Simon Wardley, CC BY-SA 4.0.'"
1,the pedagogy,https://learnwardleymapping.com/,Learn Wardley Mapping,2018,0,/resources/learn-wardley-mapping/,CC BY-SA 4.0 (free ref only),Ben Mosior / Hired Thought. The free reference is CC BY-SA; THE PAID COURSE IS ALL RIGHTS RESERVED. Do not excerpt the video.
1,the format standard,https://docs.onlinewardleymaps.com/docs/dsl-reference/,OnlineWardleyMaps DSL reference,2019,0,/agents/,MIT,"The format the whole ecosystem targets. Source of the [visibility, evolution] contract."
1,maps in git,https://mermaid.js.org/syntax/wardley.html,Mermaid wardley-beta syntax,2025,0,/agents/,MIT,The most consequential recent development. See 05__ for the parse rules this session established empirically.
1,the only CC0 resource,https://list.wardleymaps.com/,awesome-wardley-maps,2020,0,/resources/awesome-wardley-maps/,CC0 1.0,The only genuinely unrestricted resource - reuse freely. ALSO lists five dead things as live. Credit it warmly while correcting it.
1,the strongest critique,https://blog.mattedgar.com/2017/08/13/what-do-wardley-maps-really-map-a-settler-writes/,What do Wardley maps really map? A settler writes,2017-08-13,0,/resources/edgar-critique/,FLAGGED - no licence,"The evolution axis may encode CONSENSUS, not fact. Directly underpins the /agents/ epistemic guardrail. Highest-value critique, least clear rights - quote briefly, link out."
1,the limitations,https://dannybuerkli.medium.com/where-the-map-ends-understanding-wardley-maps-limitations-6c41b8feae68,Where the map ends,2019,0,/resources/buerkli-critique/,ARR,Four structural limitations. Two are directly disabling in security. The thing that stops mapping becoming a religion.
1,147 real maps,https://github.com/swardley/WARDLEY-MAP-REPOSITORY,Simon Wardley's map repository,2020,0,/agents/,FLAGGED - AMBIGUOUS,"README says CC BY-SA; the GitHub licence field says GPL-3.0. DO NOT MIRROR until resolved. ~4,905 components, 5,172 links, 22 sectors - ideal few-shot corpus."
1,prior agent work,https://github.com/tractorjuice/arc-kit,ArcKit - Wardley mapping for AI coding assistants,2025,0,/agents/,MIT,Do not reinvent this. Note its decomposition into wardley.value-chain / .doctrine / .gameplay / .climate rather than one 'make a map' action.
1,the security method,https://xebia.com/blog/using-wardley-mapping-for-optimizing-your-threat-modeling-strategy/,Using Wardley Mapping for Optimizing Your Threat Modeling Strategy,2026-01,0,/resources/xebia-threat-modelling/,ARR,"Map first, mark team boundaries as bias hotspots, ask what can be deleted, then STRIDE what the map flagged. DO NOT REPRODUCE ITS DIAGRAMS."
1,the free talk,https://www.infoq.com/presentations/stuational-awareness/,Crossing the River by Feeling the Stones,2015,0,/resources/crossing-the-river/,ARR (InfoQ ToU),"48 free minutes of Wardley doing the thing. Highest-conversion artefact in the list. Link only - no re-hosting, no clipping."
1,the live community,https://www.mapcamp.co.uk/,Map Camp (current),2018,0,/resources/map-camp/,not stated,"ALWAYS LINK THIS DOMAIN, never map-camp.com. Map Camp 2027 and the 12 Nov 2026 workshop are here; the .com stops at Sept 2024 and advertises a dead Slack invite."
2,the capability gap,https://mapkeep.com/,"MapKeep (DEAD, ceased 30 May 2026)",2020,0,/resources/dead/,DEAD,"The only tool with genuine real-time collaboration. Built by Tristan Slominski. STILL LISTED AS LIVE by awesome-wardley-maps, Wikipedia, and Simon Wardley's own resources page."
2,the AI-era bridge,https://docs.diniscruz.ai/2025/06/10/security-implications-of-the-model-context-protocol-mcp-and-the-need-for-robust-infrastructure.html,Security Implications of MCP,2025-06-10,0,/dinis/,CC0 (docs.diniscruz.ai),"THE ONLY PUBLIC LINK between the security-era and agentic-era Wardley work: MCP as the commoditisation of LLM-to-tool interfaces, ILC named, 'Genesis and Custom Build phase'. One clause. Mirror the paragraph."
